stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000384863,9606.ENSP00000446215,XPO1,RAN,9606,0.999,0.0,0.0,0.0,0.264,0.996,0.9,0.974
9606.ENSP00000400591,9606.ENSP00000454852,SNRPE,SNUPN,9606,0.88,0.0,0.0,0.0,0.049,0.696,0.5,0.269
9606.ENSP00000400591,9606.ENSP00000412566,SNRPE,SNRPB,9606,0.999,0.0,0.0,0.0,0.377,0.988,0.9,0.998
9606.ENSP00000412566,9606.ENSP00000454852,SNRPB,SNUPN,9606,0.901,0.0,0.0,0.0,0.042,0.605,0.5,0.541
9606.ENSP00000446215,9606.ENSP00000454852,RAN,SNUPN,9606,0.985,0.0,0.0,0.0,0.056,0.938,0.54,0.521
9606.ENSP00000264409,9606.ENSP00000369099,GPAT3,ADPRM,9606,0.901,0.0,0.0,0.0,0.0,0.0,0.9,0.056
9606.ENSP00000264409,9606.ENSP00000308610,GPAT3,GPD2,9606,0.928,0.057,0.0,0.0,0.062,0.0,0.9,0.282
9606.ENSP00000264409,9606.ENSP00000301149,GPAT3,GPD1,9606,0.942,0.057,0.0,0.0,0.066,0.0,0.922,0.259
9606.ENSP00000264409,9606.ENSP00000282541,GPAT3,GPD1L,9606,0.943,0.057,0.0,0.0,0.066,0.0,0.922,0.269
9606.ENSP00000264409,9606.ENSP00000265276,GPAT3,GPAM,9606,0.995,0.056,0.0,0.0,0.103,0.0,0.918,0.944
9606.ENSP00000265276,9606.ENSP00000369099,GPAM,ADPRM,9606,0.921,0.0,0.0,0.0,0.0,0.0,0.9,0.245
9606.ENSP00000265276,9606.ENSP00000308610,GPAM,GPD2,9606,0.955,0.045,0.0,0.0,0.0,0.0,0.913,0.502
9606.ENSP00000265276,9606.ENSP00000282541,GPAM,GPD1L,9606,0.957,0.102,0.0,0.0,0.044,0.0,0.942,0.235
9606.ENSP00000265276,9606.ENSP00000301149,GPAM,GPD1,9606,0.972,0.102,0.0,0.0,0.136,0.0,0.942,0.449
9606.ENSP00000282541,9606.ENSP00000369099,GPD1L,ADPRM,9606,0.902,0.0,0.0,0.0,0.0,0.0,0.9,0.066
9606.ENSP00000282541,9606.ENSP00000308610,GPD1L,GPD2,9606,0.912,0.115,0.0,0.0,0.072,0.093,0.835,0.394
9606.ENSP00000282541,9606.ENSP00000301149,GPD1L,GPD1,9606,0.942,0.0,0.0,0.053,0.063,0.411,0.9,0.061
9606.ENSP00000301149,9606.ENSP00000369099,GPD1,ADPRM,9606,0.902,0.0,0.0,0.0,0.0,0.0,0.9,0.066
9606.ENSP00000301149,9606.ENSP00000308610,GPD1,GPD2,9606,0.997,0.115,0.0,0.0,0.055,0.093,0.835,0.98
9606.ENSP00000308610,9606.ENSP00000369099,GPD2,ADPRM,9606,0.911,0.0,0.0,0.0,0.057,0.0,0.9,0.137
9606.ENSP00000361512,9606.ENSP00000369099,PRPS1,ADPRM,9606,0.904,0.0,0.0,0.0,0.042,0.0,0.9,0.085
9606.ENSP00000361512,9606.ENSP00000419628,PRPS1,NUDT5,9606,0.91,0.047,0.0,0.0,0.088,0.0,0.9,0.095
9606.ENSP00000361512,9606.ENSP00000371393,PRPS1,PGM2,9606,0.939,0.057,0.0,0.0,0.099,0.094,0.9,0.335
9606.ENSP00000361512,9606.ENSP00000424595,PRPS1,PRPS1L1,9606,0.97,0.0,0.0,0.048,0.057,0.712,0.9,0.047
9606.ENSP00000361512,9606.ENSP00000381504,PRPS1,PRPS2,9606,0.985,0.0,0.0,0.047,0.137,0.847,0.9,0.054
9606.ENSP00000369099,9606.ENSP00000419628,ADPRM,NUDT5,9606,0.902,0.041,0.0,0.0,0.0,0.0,0.9,0.069
9606.ENSP00000369099,9606.ENSP00000371393,ADPRM,PGM2,9606,0.902,0.054,0.0,0.0,0.044,0.0,0.9,0.046
9606.ENSP00000369099,9606.ENSP00000424595,ADPRM,PRPS1L1,9606,0.904,0.0,0.0,0.0,0.0,0.0,0.9,0.085
9606.ENSP00000369099,9606.ENSP00000381504,ADPRM,PRPS2,9606,0.904,0.0,0.0,0.0,0.0,0.0,0.9,0.085
9606.ENSP00000371393,9606.ENSP00000419628,PGM2,NUDT5,9606,0.912,0.053,0.0,0.0,0.15,0.0,0.9,0.0
9606.ENSP00000371393,9606.ENSP00000424595,PGM2,PRPS1L1,9606,0.94,0.057,0.0,0.0,0.087,0.094,0.9,0.351
9606.ENSP00000371393,9606.ENSP00000381504,PGM2,PRPS2,9606,0.944,0.057,0.0,0.0,0.118,0.094,0.9,0.376
